Date,Close,High,Low,Open,Volume
2001-01-01,18.47871,18.58145,18.33001,18.38409,42128577
2001-01-02,19.15731,19.41144,18.39761,18.40302,92764775
2001-01-03,19.46821,19.55743,19.08701,19.19515,123856212
2001-01-04,19.34655,19.8386,19.26004,19.41685,83784183
2001-01-05,19.69801,19.83319,19.27626,19.27626,104474953
2001-01-08,19.47632,19.86834,19.31681,19.60069,95828393
2001-01-09,19.35466,19.56284,19.3087,19.43307,63211442
2001-01-10,19.01672,19.54391,18.87884,19.38711,66251757
2001-01-11,19.23841,19.31952,18.97887,19.05998,57008778
2001-01-12,19.17082,19.379,19.14108,19.30059,33646611
2001-01-15,19.2249,19.27626,19.03294,19.14379,27697623
2001-01-16,19.9197,20.02785,19.22489,19.22489,145605043
2001-01-17,19.57635,20.08462,19.53309,20.06569,58317336
2001-01-18,19.72234,19.81697,19.5385,19.62772,38235547
2001-01-19,19.95756,20.21169,19.74127,19.74127,91923124
2001-01-22,20.24953,20.32523,19.90348,19.95214,106260122
2001-01-23,20.63614,20.77672,20.26305,20.26305,115872538
2001-01-24,20.56585,20.79025,20.46582,20.78484,76479540
2001-01-25,20.63885,20.73617,20.36579,20.62803,62876484
2001-01-26,20.63885,20.63885,20.63885,20.63885,0
2001-01-29,20.41986,20.54692,19.51958,20.54692,71061907
2001-01-30,21.06871,21.1417,20.46852,20.46852,147232440
2001-01-31,20.79565,21.8987,20.601,21.8987,82628245
2001-02-01,20.87947,21.01194,20.15221,20.73618,178438559
2001-02-02,21.33095,21.40665,20.76051,20.79024,141852072
2001-02-05,21.58239,21.65538,21.10115,21.25526,149430501
2001-02-06,21.51209,21.76352,21.42558,21.62834,84708376
2001-02-07,21.27418,21.5175,21.19578,21.39314,50935108
2001-02-08,21.40935,21.49046,21.11467,21.15252,66988585
2001-02-09,21.56886,21.73648,21.31744,21.46613,97611280
2001-02-12,21.65808,21.97439,21.3715,21.42557,92278010
2001-02-13,22.17175,22.27178,21.49316,21.73648,119497901
2001-02-14,22.46914,22.56918,22.14472,22.4313,125432815
2001-02-15,22.85575,23.00174,22.33126,22.43941,205960791
2001-02-16,22.84224,23.21533,22.70976,22.92064,177636541
2001-02-19,22.99904,23.09096,22.62866,22.87198,89147661
2001-02-20,22.86116,23.06392,22.76383,22.92604,100213930
2001-02-21,22.39074,22.972,22.2826,22.87468,110495812
2001-02-22,22.42048,22.65569,22.09335,22.33126,109056397
2001-02-23,22.23934,22.7422,22.14742,22.44211,108219311
2001-02-26,21.96629,22.32586,21.80407,22.17986,87129836
2001-02-27,21.74189,22.1285,21.48235,22.03387,78573731
2001-02-28,22.39074,22.70976,21.66349,21.73648,154742009
2001-03-01,23.69385,24.1156,22.49348,22.49348,223194307
2001-03-02,22.6611,24.38596,22.44752,23.79118,187886955
2001-03-05,22.09606,22.98012,21.76353,22.7368,132200024
2001-03-06,22.09606,22.09606,22.09606,22.09606,0
2001-03-07,22.27719,22.96389,21.55264,22.27719,105663297
2001-03-08,22.35289,22.71787,22.11768,22.3556,62047073
2001-03-09,22.14202,22.22853,21.55535,22.22853,54988278
2001-03-12,22.06091,22.27719,21.73648,22.12039,51412616
2001-03-13,20.9849,22.62865,20.2982,21.68511,73733177
2001-03-14,21.5959,21.89329,20.82539,21.03356,47229178
2001-03-15,21.47964,21.70674,20.9849,21.24984,34790561
2001-03-16,20.76321,21.58779,20.49826,21.30392,44860430
2001-03-19,20.6821,20.97949,20.30901,20.601,31633267
2001-03-20,20.18736,20.80377,20.03326,20.76321,25515540
2001-03-21,21.69864,21.80408,19.74938,20.35768,46522683
2001-03-22,21.27147,22.10417,21.1417,21.91762,40167819
2001-03-23,20.52259,21.66349,20.23872,21.30391,49623609
2001-03-26,20.77402,20.90379,20.33605,20.54692,24811230
2001-03-27,21.12549,21.32555,20.63885,20.70914,41114839
2001-03-28,21.73649,21.8987,21.28229,21.35799,37356183
2001-03-29,21.43639,21.94466,21.30392,21.69593,53399898
2001-03-30,21.0633,21.4499,20.90649,21.30932,34400048
2001-04-02,21.14441,21.2931,20.25224,20.89839,39069902
2001-04-03,21.1336,21.35799,20.87136,21.08764,21535935
2001-04-04,20.71455,20.96327,20.4523,20.55504,20329316
2001-04-05,20.71455,20.71455,20.71455,20.71455,0
2001-04-06,20.69562,21.24714,20.601,20.70914,16347064
2001-04-09,19.31681,20.74699,19.01942,20.55774,68517838
2001-04-10,17.76768,19.20597,17.64332,19.20597,51180311
2001-04-11,17.53248,18.25162,16.58083,17.84339,79577889
2001-04-12,16.07797,17.19454,15.7941,17.19454,91028313
2001-04-13,16.07797,16.07797,16.07797,16.07797,0
2001-04-16,16.66193,16.92418,15.68055,15.82113,63144487
2001-04-17,17.04313,17.4,16.54568,16.59975,55346202
2001-04-18,17.69198,17.83797,16.38347,16.97825,92069344
2001-04-19,19.9927,20.47123,17.84068,17.84068,148974490
2001-04-20,19.40333,20.27116,19.09242,20.00081,80686282
2001-04-23,19.14649,19.64935,18.96535,19.19515,45602314
2001-04-24,18.89506,19.08702,18.62741,18.98969,37334378
2001-04-25,19.39251,19.62772,18.81666,18.9248,69473779
2001-04-26,19.5896,20.19961,19.42122,19.89875,71457307
2001-04-27,19.06515,19.37706,18.36128,19.37706,72373573
2001-04-30,18.90781,19.50955,18.43857,19.25008,46574990
2001-05-01,18.90781,18.90781,18.90781,18.90781,0
2001-05-02,18.89677,19.12863,18.56002,18.88021,31688179
2001-05-03,18.98785,19.2556,18.75047,18.825,32772960
2001-05-04,18.97406,19.10103,18.825,18.94369,17594955
2001-05-07,18.81948,19.17831,18.74495,18.93541,15749006
2001-05-08,19.10655,19.22248,18.77256,18.7974,30808142
2001-05-09,19.41846,19.75245,19.13139,19.15623,62306141
2001-05-10,19.60616,19.69173,19.35498,19.42674,30532185
2001-05-11,19.6172,19.94567,19.55096,19.67793,31238931
2001-05-14,19.86287,19.98708,19.57856,19.59788,24879040
2001-05-15,20.47012,20.55844,19.21971,19.70828,65107625
2001-05-16,20.25758,20.69094,20.15821,20.56949,46455448
2001-05-17,21.11878,21.25679,20.36523,20.36523,81220452
2001-05-18,20.6937,21.24576,20.59157,21.23747,42258187
2001-05-21,20.79307,21.06082,20.51428,20.53636,40671474
2001-05-22,20.83723,21.06081,20.74062,20.85931,29510899
2001-05-23,21.03597,21.15742,20.80411,20.81515,26407985
